Nombre,Victorias
Dustin Johnson,3
Justin Thomas,3
Brendon Todd,2
Jon Rahm,2
Webb Simpson,2
Collin Morikawa,2
Tyrrell Hatton,1
Sungjae Im,1
Marc Leishman,1
Adam Scott,1
Patrick Reed,1
Nick Taylor,1
Viktor Hovland,1
Andrew Landry,1
Cameron Smith,1
Lanto Griffin,1
Sebastian Munoz,1
Joaquin Niemann,1
Rory McIlroy,1
Kevin Na,1
Cameron Champ,1
Jim Herman,1
Richy Werenski,1
Daniel Berger,1
Harris English,1
