RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 3 AVG,TOTAL PAR
1,0,39977,Max Homa,-20,2.93,894
2,0,46970,Jon Rahm,-18,2.93,768
3,1,47591,Eric Cole,-14,2.97,1269
4,-1,32102,Rickie Fowler,-9,2.97,1044
5,0,46046,Scottie Scheffler,-7,2.98,984
6,-1,22371,Aaron Baddeley,-6,2.98,855
7,1,31646,Emiliano Grillo,-5,2.99,1170
7,8,33399,Adam Hadwin,-5,2.98,978
7,1,28237,Rory McIlroy,-5,2.98,684
10,-2,52375,Doug Ghim,-3,2.99,939
10,-3,37275,Sam Ryder,-3,2.99,1074
12,-4,47504,Sam Burns,-2,2.99,897
12,0,36871,Matt NeSmith,-2,2.99,999
12,9,34256,Andrew Putnam,-2,3.00,1251
12,0,51890,Greyson Sigg,-2,2.99,1083
16,-1,33122,Russell Knox,-1,3.00,1131
16,-1,50525,Collin Morikawa,-1,3.00,840
16,11,22405,Justin Rose,-1,3.00,795
16,-4,39324,J.J. Spaun,-1,3.00,984
16,-1,27963,Chris Stroud,-1,2.99,573
21,0,25900,Lucas Glover,E,3.00,1017
21,-6,47988,Nick Hardy,E,3.00,1125
21,6,46717,Viktor Hovland,E,3.00,987
21,-1,36801,Mark Hubbard,E,3.00,1152
21,3,51634,Sahith Theegala,E,3.00,1122
26,-5,45242,Kevin Yu,+1,3.00,645
27,27,30911,Tommy Fleetwood,+2,3.01,828
28,2,28089,Jason Day,+3,3.01,882
28,11,54591,Ben Griffin,+3,3.01,1203
28,5,32839,Hideki Matsuyama,+3,3.01,1002
28,-1,26476,Chez Reavie,+3,3.01,1014
32,-2,28775,Nate Lashley,+4,3.01,1050
32,34,47347,Adam Schenk,+4,3.01,1251
32,-2,50493,Justin Suh,+4,3.01,1164
35,11,36799,Stephan Jaeger,+5,3.01,1320
35,-2,51997,Andrew Novak,+5,3.02,939
35,11,48081,Xander Schauffele,+5,3.02,861
35,-2,48119,Ben Taylor,+5,3.01,1077
39,0,45522,Christiaan Bezuidenhout,+6,3.02,978
39,0,40058,Zac Blair,+6,3.02,747
39,20,40098,Matt Fitzpatrick,+6,3.02,783
39,-6,55182,Tom Kim,+6,3.02,960
39,0,27936,Martin Laird,+6,3.02,846
39,0,29289,S.Y. Noh,+6,3.02,723
39,20,30927,Brendon Todd,+6,3.02,1047
39,-6,57366,Cameron Young,+6,3.02,888
47,-14,34363,Tyrrell Hatton,+7,3.02,864
47,-1,12716,Charley Hoffman,+7,3.03,825
47,-23,35532,Tom Hoge,+7,3.02,1101
47,-8,37455,Si Woo Kim,+7,3.02,1068
47,12,30926,Chris Kirk,+7,3.02,990
47,7,23108,Matt Kuchar,+7,3.02,945
47,-1,32640,Troy Merritt,+7,3.02,867
47,-1,25818,Scott Piercy,+7,3.02,963
47,23,36699,Patrick Rodgers,+7,3.02,1230
47,-1,46441,Robby Shelton,+7,3.02,1059
57,2,33141,Keegan Bradley,+8,3.03,846
57,-3,29535,Brice Garnett,+8,3.03,873
57,-3,34563,Chesson Hadley,+8,3.03,891
57,-3,53165,Doc Redman,+8,3.03,741
57,-11,40115,Adam Svensson,+8,3.02,1194
62,16,48117,Kurt Kitayama,+9,3.03,801
62,-3,32791,K.H. Lee,+9,3.03,1050
62,-3,27349,Alex Noren,+9,3.03,870
62,-38,28252,Seamus Power,+9,3.03,933
66,-27,29725,Tony Finau,+10,3.03,936
66,12,27644,Brian Harman,+10,3.03,990
66,-20,35506,Mackenzie Hughes,+10,3.03,876
66,0,33204,Shane Lowry,+10,3.04,756
66,0,39546,Keith Mitchell,+10,3.03,1011
66,0,26596,Ryan Moore,+10,3.04,741
66,20,25493,Nick Taylor,+10,3.03,951
73,-14,33948,Byeong Hun An,+11,3.03,1263
73,-3,19803,Ryan Armour,+11,3.03,945
73,-3,23983,Luke Donald,+11,3.06,555
73,-3,47079,Harrison Endycott,+11,3.04,891
73,5,34099,Harris English,+11,3.03,1092
73,-3,24140,Sean O'Hair,+11,3.06,519
73,-3,48699,Callum Tarren,+11,3.03,963
73,-3,52513,Carson Young,+11,3.03,1014
81,-3,34255,Joseph Bramlett,+12,3.04,1005
81,5,55708,Hayden Buckley,+12,3.04,834
81,-3,35901,Paul Haley II,+12,3.04,963
81,-3,34098,Russell Henley,+12,3.04,870
81,-3,46442,Maverick McNealy,+12,3.05,729
81,-3,22056,Cameron Percy,+12,3.06,603
81,20,49771,J.T. Poston,+12,3.03,1074
81,-11,49960,Sepp Straka,+12,3.04,1020
89,-3,30163,Henrik Norlander,+13,3.04,915
89,-3,39335,Kevin Roy,+13,3.05,765
89,-3,50095,Austin Smotherman,+13,3.04,978
89,-3,31560,Brian Stuard,+13,3.06,693
93,18,39997,Corey Conners,+14,3.05,894
93,0,57362,Austin Eckroat,+14,3.04,1035
93,0,31577,Tano Goya,+14,3.05,891
93,0,39971,Sungjae Im,+14,3.04,1116
93,0,25198,Francesco Molinari,+14,3.07,588
93,0,47983,Chad Ramey,+14,3.04,1083
93,0,48867,Matti Schmid,+14,3.06,741
93,18,34046,Jordan Spieth,+14,3.05,783
93,0,32150,Michael Thompson,+14,3.08,552
93,0,54783,Dylan Wu,+14,3.04,1089
103,-2,55454,Carl Yuan,+15,3.06,771
104,-1,56630,Akshay Bhatia,+16,3.07,702
104,-1,34076,Joel Dahmen,+16,3.05,981
104,-1,31557,Jim Herman,+16,3.06,759
104,-1,34466,Peter Malnati,+16,3.05,921
104,-1,51070,Vincent Norrman,+16,3.05,969
104,-1,36724,Augusto Núñez,+16,3.05,873
104,-1,29221,Webb Simpson,+16,3.08,603
104,-1,30692,Scott Stallings,+16,3.05,879
112,-1,24925,Jonathan Byrd,+17,3.08,609
112,-1,32366,Kevin Chappell,+17,3.09,537
112,-1,57975,Harry Hall,+17,3.05,1041
115,2,49766,Hank Lebioda,+18,3.09,609
115,2,52374,Brandon Wu,+18,3.05,1179
117,2,39954,Cody Gribble,+19,3.09,663
117,21,54628,Lee Hodges,+19,3.05,1182
117,2,34431,Robert Streb,+19,3.07,762
117,2,40006,Erik van Rooyen,+19,3.07,780
121,3,51349,Nico Echavarria,+20,3.08,777
121,3,32448,James Hahn,+20,3.07,843
121,3,23320,Ryan Palmer,+20,3.08,741
121,3,27095,Nick Watney,+20,3.08,759
121,3,49964,Aaron Wise,+20,3.12,516
126,8,35450,Patrick Cantlay,+21,3.08,774
126,-7,51766,Wyndham Clark,+21,3.05,1200
126,3,45157,Cam Davis,+21,3.07,924
126,-15,33653,Thomas Detry,+21,3.06,1035
126,3,45609,Tyler Duncan,+21,3.07,942
126,3,39975,Michael Kim,+21,3.06,1059
126,3,32757,Patton Kizzire,+21,3.07,942
126,3,34409,David Lingmerth,+21,3.07,942
126,-7,47993,Denny McCarthy,+21,3.06,1143
135,-1,37338,Zecheng Dou,+22,3.07,1005
135,-1,32662,Michael Gligic,+22,3.09,729
137,0,58168,Davis Thompson,+23,3.07,930
138,0,46435,Austin Cook,+24,3.09,807
138,0,39058,Lucas Herbert,+24,3.13,558
140,2,29420,Billy Horschel,+25,3.10,756
140,-2,46340,Alex Smalley,+25,3.06,1191
142,1,20229,Stewart Cink,+26,3.10,816
142,1,40162,Justin Lower,+26,3.07,1047
142,1,55789,Taylor Montgomery,+26,3.08,1032
142,1,32333,Kevin Tway,+26,3.07,1041
146,1,25686,Jason Dufner,+27,3.09,882
146,1,24024,Zach Johnson,+27,3.10,786
146,5,55893,Sam Stevens,+27,3.07,1113
146,1,48887,Matt Wallace,+27,3.08,960
146,1,32139,Danny Willett,+27,3.10,816
151,11,49947,Taylor Moore,+28,3.08,1107
151,0,24502,Adam Scott,+28,3.12,720
153,0,33408,Tyson Alexander,+29,3.09,927
153,0,52372,Cameron Champ,+29,3.12,702
153,0,40250,Taylor Pendrith,+29,3.09,1017
