RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 3 AVG,TOTAL PAR
153,0,33448,Justin Thomas,+29,3.10,834
153,0,58967,Trevor Werbylo,+29,3.10,831
158,1,56762,Will Gordon,+30,3.08,1152
158,-5,35461,Beau Hossler,+30,3.08,1119
158,1,35617,Martin Trainer,+30,3.16,567
158,1,25632,Jimmy Walker,+30,3.10,873
162,0,33597,Harry Higgs,+31,3.11,819
162,0,36326,David Lipsky,+31,3.09,1041
164,1,39067,MJ Daffue,+32,3.09,1083
164,1,27554,Scott Harrington,+32,3.12,783
164,1,33413,Ben Martin,+32,3.09,1083
164,1,51950,Max McGreevy,+32,3.10,933
164,1,31323,Gary Woodland,+32,3.09,1056
169,1,52411,Kyle Westmoreland,+33,3.13,777
170,1,49453,Trevor Cone,+34,3.12,831
171,1,59018,Ryan Gerard,+35,3.17,624
171,1,35879,Kelly Kraft,+35,3.13,807
171,5,46414,Aaron Rai,+35,3.09,1188
171,1,27214,Kevin Streelman,+35,3.10,1083
175,0,35449,Adam Long,+36,3.09,1149
176,0,54421,Garrick Higgo,+38,3.10,1131
176,0,51491,Brandon Matthews,+38,3.17,675
178,1,49298,Kramer Hickok,+39,3.13,936
178,1,50188,S.H. Kim,+39,3.10,1221
180,1,46601,Trey Mullinax,+40,3.14,834
181,1,47128,Richy Werenski,+41,3.13,969
182,2,29970,Dylan Frittelli,+45,3.17,807
182,2,27129,Luke List,+45,3.14,954
184,-1,47995,Davis Riley,+46,3.13,1083
185,1,33410,Andrew Landry,+47,3.19,759
186,1,28420,Ryan Brehm,+48,3.16,891
186,1,51414,Brent Grant,+48,3.18,807
188,1,34610,Matthias Schwab,+57,3.16,1041
