RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
136,4,36871,Matt NeSmith,295.1,45443,154
137,0,33413,Ben Martin,295.0,51332,174
138,4,25900,Lucas Glover,294.9,47189,160
138,0,22405,Justin Rose,294.9,35389,120
140,-1,33399,Adam Hadwin,294.7,44797,152
141,-1,50525,Collin Morikawa,294.4,38271,130
142,1,37275,Sam Ryder,294.0,48803,166
143,7,40115,Adam Svensson,293.9,55248,188
144,0,34610,Matthias Schwab,293.8,49947,170
145,-1,27644,Brian Harman,293.7,45228,154
146,-2,40162,Justin Lower,293.6,51079,174
147,9,34076,Joel Dahmen,293.5,45780,156
148,6,27936,Martin Laird,293.3,39891,136
148,-1,25818,Scott Piercy,293.3,46347,158
150,2,47079,Harrison Endycott,293.2,42805,146
150,-2,46414,Aaron Rai,293.2,54541,186
150,-2,53165,Doc Redman,293.2,35178,120
153,-3,24140,Sean O'Hair,293.1,24618,84
153,-1,47983,Chad Ramey,293.1,52174,178
155,4,32640,Troy Merritt,292.8,40998,140
156,0,25493,Nick Taylor,292.7,42728,146
157,1,32139,Danny Willett,292.1,39144,134
158,2,30163,Henrik Norlander,291.9,43782,150
158,2,46441,Robby Shelton,291.9,50201,172
160,0,36801,Mark Hubbard,291.7,52497,180
160,3,36326,David Lipsky,291.7,48426,166
162,6,34098,Russell Henley,291.6,39662,136
163,3,31557,Jim Herman,291.5,36730,126
164,0,25198,Francesco Molinari,291.4,26813,92
165,0,27963,Chris Stroud,291.2,27376,94
166,1,45522,Christiaan Bezuidenhout,290.7,46511,160
167,2,24024,Zach Johnson,290.5,37182,128
167,3,35449,Adam Long,290.5,54041,186
169,2,24925,Jonathan Byrd,290.3,29032,100
170,5,51950,Max McGreevy,289.8,44048,152
171,1,22056,Cameron Percy,289.7,28393,98
172,1,29535,Brice Garnett,289.3,41660,144
172,1,32150,Michael Thompson,289.3,26040,90
174,2,33410,Andrew Landry,288.8,36387,126
175,2,26476,Chez Reavie,288.5,48475,168
176,2,32816,Satoshi Kodaira,287.2,24701,86
177,2,33122,Russell Knox,285.8,52589,184
178,3,35879,Kelly Kraft,285.7,37709,132
178,2,26596,Ryan Moore,285.7,34856,122
180,2,34256,Andrew Putnam,285.3,54203,190
181,3,22371,Aaron Baddeley,284.0,39762,140
182,1,35901,Paul Haley II,283.7,44255,156
183,2,19803,Ryan Armour,283.5,43091,152
183,2,46435,Austin Cook,283.5,36855,130
185,2,30927,Brendon Todd,283.1,47554,168
186,2,23983,Luke Donald,282.6,25435,90
187,3,40058,Zac Blair,280.1,33606,120
188,3,34409,David Lingmerth,278.4,42310,152
189,3,31560,Brian Stuard,272.7,31092,114
