RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,YTD VICTORIES
130,0,12716,Charley Hoffman,$825469
131,0,50095,Austin Smotherman,$814781
132,0,24024,Zach Johnson,$807499
133,0,39067,MJ Daffue,$796889
134,0,47529,Mito Pereira,$789784
135,0,32640,Troy Merritt,$775200
136,0,47079,Harrison Endycott,$767298
137,0,40006,Erik van Rooyen,$748601
138,0,35901,Paul Haley II,$737968
139,0,52955,Ludvig Aberg,$737964
140,0,23320,Ryan Palmer,$734075
141,0,49298,Kramer Hickok,$728912
142,0,32333,Kevin Tway,$720772
143,0,52372,Cameron Champ,$711173
144,0,33597,Harry Higgs,$684386
145,0,25818,Scott Piercy,$679341
146,0,29970,Dylan Frittelli,$664599
147,0,35449,Adam Long,$624815
148,0,34610,Matthias Schwab,$618400
149,0,39954,Cody Gribble,$576738
150,0,30163,Henrik Norlander,$569329
151,0,25198,Francesco Molinari,$566848
152,0,47128,Richy Werenski,$546393
153,0,33122,Russell Knox,$542673
154,0,26596,Ryan Moore,$541818
155,0,20766,Padraig Harrington,$528807
156,0,28420,Ryan Brehm,$527745
157,0,55454,Carl Yuan,$516444
158,0,48867,Matti Schmid,$515135
159,0,32448,James Hahn,$512441
160,0,19803,Ryan Armour,$508238
161,0,22056,Cameron Percy,$502108
162,0,20229,Stewart Cink,$499632
163,0,49453,Trevor Cone,$478700
164,0,24140,Sean O'Hair,$461407
165,0,23983,Luke Donald,$456642
166,0,29289,S.Y. Noh,$455617
167,0,53165,Doc Redman,$445575
168,0,32150,Michael Thompson,$438817
169,0,34213,Grayson Murray,$437066
170,0,29535,Brice Garnett,$433887
171,0,27963,Chris Stroud,$432674
172,0,31577,Tano Goya,$423096
173,0,34374,Erik Barnes,$422239
174,0,25686,Jason Dufner,$385119
175,0,27064,Jhonattan Vegas,$375361
176,0,51414,Brent Grant,$374126
177,0,36724,Augusto Núñez,$368578
178,0,51950,Max McGreevy,$360757
179,0,29518,Brendan Steele,$350609
180,0,32816,Satoshi Kodaira,$349196
181,0,31557,Jim Herman,$344295
182,0,35617,Martin Trainer,$333888
