RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 5 AVG,TOTAL PAR
1,0,39971,Sungjae Im,-152,4.47,1430
2,0,51766,Wyndham Clark,-147,4.52,1540
3,0,47591,Eric Cole,-140,4.55,1560
3,2,36799,Stephan Jaeger,-140,4.57,1620
5,-2,54421,Garrick Higgo,-139,4.55,1540
6,2,46046,Scottie Scheffler,-137,4.45,1240
7,-1,54783,Dylan Wu,-136,4.53,1460
8,-1,34256,Andrew Putnam,-135,4.56,1530
9,3,33948,Byeong Hun An,-131,4.59,1610
9,2,47347,Adam Schenk,-131,4.59,1580
9,-1,58168,Davis Thompson,-131,4.47,1240
12,-2,35449,Adam Long,-130,4.58,1530
13,2,51070,Vincent Norrman,-129,4.50,1290
14,-1,39067,MJ Daffue,-126,4.57,1480
14,-1,28775,Nate Lashley,-126,4.55,1410
14,2,36699,Patrick Rodgers,-126,4.59,1530
17,2,32102,Rickie Fowler,-124,4.54,1350
17,0,46414,Aaron Rai,-124,4.59,1510
19,2,35461,Beau Hossler,-123,4.57,1430
20,2,29725,Tony Finau,-121,4.50,1220
20,-3,50188,S.H. Kim,-121,4.63,1640
22,-3,56762,Will Gordon,-120,4.60,1500
22,0,40115,Adam Svensson,-120,4.60,1500
24,6,46340,Alex Smalley,-118,4.61,1520
25,1,31646,Emiliano Grillo,-117,4.62,1530
25,-3,57975,Harry Hall,-117,4.56,1340
27,-2,32791,K.H. Lee,-116,4.56,1310
28,2,54591,Ben Griffin,-115,4.62,1520
28,7,55789,Taylor Montgomery,-115,4.57,1350
28,-2,46970,Jon Rahm,-115,4.45,1040
31,4,35450,Patrick Cantlay,-114,4.44,1020
31,1,54628,Lee Hodges,-114,4.62,1500
31,9,49947,Taylor Moore,-114,4.61,1450
31,2,55893,Sam Stevens,-114,4.61,1450
31,-5,32333,Kevin Tway,-114,4.58,1370
36,4,45157,Cam Davis,-113,4.49,1110
36,-1,55182,Tom Kim,-113,4.54,1230
36,-7,40250,Taylor Pendrith,-113,4.59,1390
39,1,50525,Collin Morikawa,-111,4.49,1090
40,-7,34255,Joseph Bramlett,-110,4.59,1330
40,6,23108,Matt Kuchar,-110,4.53,1180
40,6,51634,Sahith Theegala,-110,4.63,1480
43,3,27644,Brian Harman,-109,4.56,1230
43,-3,30927,Brendon Todd,-109,4.60,1370
43,3,52374,Brandon Wu,-109,4.63,1480
46,5,46717,Viktor Hovland,-108,4.56,1240
46,-11,33413,Ben Martin,-108,4.61,1390
46,-11,47128,Richy Werenski,-108,4.58,1300
49,-9,32757,Patton Kizzire,-107,4.58,1260
49,-9,51890,Greyson Sigg,-107,4.62,1420
51,2,47988,Nick Hardy,-106,4.63,1430
51,8,35532,Tom Hoge,-106,4.62,1400
