RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 5 AVG,TOTAL PAR
51,-5,40162,Justin Lower,-106,4.64,1460
51,8,32839,Hideki Matsuyama,-106,4.59,1300
51,4,49771,J.T. Poston,-106,4.60,1310
56,-4,51997,Andrew Novak,-104,4.59,1260
57,-4,52375,Doug Ghim,-103,4.59,1260
57,-2,25493,Nick Taylor,-103,4.58,1230
59,10,37455,Si Woo Kim,-102,4.62,1330
59,7,57366,Cameron Young,-102,4.56,1170
61,-6,33399,Adam Hadwin,-101,4.61,1280
61,-6,31323,Gary Woodland,-101,4.62,1345
63,6,34099,Harris English,-100,4.62,1330
63,12,34046,Jordan Spieth,-100,4.52,1040
65,-6,45609,Tyler Duncan,-99,4.60,1250
65,-6,31577,Tano Goya,-99,4.60,1250
65,14,39977,Max Homa,-99,4.58,1180
68,-5,47983,Chad Ramey,-98,4.65,1420
68,1,48081,Xander Schauffele,-98,4.55,1100
70,-6,57362,Austin Eckroat,-97,4.64,1330
70,-6,33448,Justin Thomas,-97,4.56,1090
72,3,36801,Mark Hubbard,-96,4.68,1485
72,-6,36326,David Lipsky,-96,4.63,1310
72,-6,27214,Kevin Streelman,-96,4.66,1400
75,-6,33597,Harry Higgs,-95,4.59,1160
75,8,37275,Sam Ryder,-95,4.66,1400
75,-6,46441,Robby Shelton,-95,4.66,1410
75,-6,52513,Carson Young,-95,4.64,1320
79,-4,47993,Denny McCarthy,-94,4.66,1400
79,2,28252,Seamus Power,-94,4.62,1250
79,4,49960,Sepp Straka,-94,4.64,1310
82,-7,49453,Trevor Cone,-93,4.60,1160
82,8,39997,Corey Conners,-93,4.59,1130
82,5,30911,Tommy Fleetwood,-93,4.54,1010
82,1,35506,Mackenzie Hughes,-93,4.59,1130
86,-7,37338,Zecheng Dou,-92,4.65,1320
87,4,33141,Keegan Bradley,-91,4.60,1130
87,16,47995,Davis Riley,-91,4.67,1360
87,-6,50493,Justin Suh,-91,4.69,1450
90,1,40098,Matt Fitzpatrick,-90,4.57,1040
90,13,34098,Russell Henley,-90,4.58,1080
90,-7,58967,Trevor Werbylo,-90,4.61,1165
93,10,34363,Tyrrell Hatton,-89,4.60,1100
93,-6,39975,Michael Kim,-89,4.67,1360
93,17,39546,Keith Mitchell,-89,4.66,1290
93,-2,22405,Justin Rose,-89,4.56,1020
93,-6,25632,Jimmy Walker,-89,4.60,1110
98,10,47504,Sam Burns,-88,4.63,1175
98,1,30926,Chris Kirk,-88,4.66,1290
100,10,28089,Jason Day,-87,4.62,1150
100,29,33653,Thomas Detry,-87,4.68,1380
100,-9,27554,Scott Harrington,-87,4.60,1100
100,-9,34466,Peter Malnati,-87,4.65,1260
100,-9,30163,Henrik Norlander,-87,4.66,1270
100,-9,36724,Augusto Núñez,-87,4.64,1200
100,-9,48119,Ben Taylor,-87,4.68,1350
107,-8,28420,Ryan Brehm,-86,4.64,1210
107,-8,49298,Kramer Hickok,-86,4.65,1230
107,-8,50095,Austin Smotherman,-86,4.67,1285
110,-7,27936,Martin Laird,-85,4.62,1120
110,-7,23320,Ryan Palmer,-85,4.55,940
112,12,36871,Matt NeSmith,-84,4.67,1260
112,-4,34610,Matthias Schwab,-84,4.69,1360
114,-4,56630,Akshay Bhatia,-83,4.56,940
114,-4,29535,Brice Garnett,-83,4.66,1230
114,-4,51414,Brent Grant,-83,4.63,1110
114,-4,12716,Charley Hoffman,-83,4.62,1080
114,-4,34409,David Lingmerth,-83,4.66,1215
114,-4,26596,Ryan Moore,-83,4.59,1020
114,-4,39335,Kevin Roy,-83,4.60,1050
114,20,39324,J.J. Spaun,-83,4.67,1250
114,-4,48887,Matt Wallace,-83,4.65,1200
123,-3,33122,Russell Knox,-82,4.72,1460
124,-3,47079,Harrison Endycott,-81,4.66,1200
124,15,25900,Lucas Glover,-81,4.71,1380
124,-3,35901,Paul Haley II,-81,4.69,1300
124,-3,52411,Kyle Westmoreland,-81,4.62,1070
128,-4,22371,Aaron Baddeley,-80,4.65,1140
128,-4,25686,Jason Dufner,-80,4.67,1230
128,-4,25818,Scott Piercy,-80,4.69,1305
128,-4,40006,Erik van Rooyen,-80,4.61,1025
132,-3,34076,Joel Dahmen,-79,4.68,1230
132,-3,34563,Chesson Hadley,-79,4.66,1170
132,-3,51950,Max McGreevy,-79,4.68,1250
132,-3,45242,Kevin Yu,-79,4.52,830
136,-2,45522,Christiaan Bezuidenhout,-78,4.69,1240
136,-2,40058,Zac Blair,-78,4.58,920
136,-2,20229,Stewart Cink,-78,4.63,1060
136,-2,59018,Ryan Gerard,-78,4.54,840
140,-1,32448,James Hahn,-75,4.67,1140
140,-1,33204,Shane Lowry,-75,4.60,930
140,13,28237,Rory McIlroy,-75,4.55,840
140,-1,30692,Scott Stallings,-75,4.68,1170
140,-1,55454,Carl Yuan,-75,4.63,1010
145,-1,46601,Trey Mullinax,-74,4.67,1130
145,-1,26476,Chez Reavie,-74,4.72,1325
147,-1,33408,Tyson Alexander,-73,4.70,1210
148,-1,32139,Danny Willett,-72,4.67,1085
149,-1,19803,Ryan Armour,-71,4.72,1270
149,-1,48867,Matti Schmid,-71,4.66,1050
151,-1,46435,Austin Cook,-70,4.68,1110
151,-1,51491,Brandon Matthews,-70,4.62,925
151,-1,34431,Robert Streb,-70,4.65,990
154,-1,29970,Dylan Frittelli,-69,4.67,1045
154,-1,24502,Adam Scott,-69,4.63,920
156,0,32366,Kevin Chappell,-68,4.56,770
156,0,29289,S.Y. Noh,-68,4.66,1010
156,0,29221,Webb Simpson,-68,4.54,740
159,0,29420,Billy Horschel,-67,4.63,910
159,0,24024,Zach Johnson,-67,4.65,960
159,0,35879,Kelly Kraft,-67,4.68,1045
162,0,33410,Andrew Landry,-66,4.68,1030
162,0,32640,Troy Merritt,-66,4.70,1110
164,0,48699,Callum Tarren,-65,4.74,1250
165,8,55708,Hayden Buckley,-64,4.68,1010
165,0,24925,Jonathan Byrd,-64,4.62,850
165,0,51349,Nico Echavarria,-64,4.69,1030
165,5,48117,Kurt Kitayama,-64,4.66,950
165,0,46442,Maverick McNealy,-64,4.65,905
165,0,22056,Cameron Percy,-64,4.62,840
171,-2,52372,Cameron Champ,-63,4.65,890
172,-2,27129,Luke List,-62,4.76,1270
172,-2,49964,Aaron Wise,-62,4.54,670
174,0,32662,Michael Gligic,-60,4.70,1010
175,0,27963,Chris Stroud,-58,4.64,810
175,0,35617,Martin Trainer,-58,4.65,830
177,0,39954,Cody Gribble,-57,4.69,930
177,0,27349,Alex Noren,-57,4.75,1130
179,0,53165,Doc Redman,-56,4.71,960
180,1,31557,Jim Herman,-53,4.72,955
180,1,31560,Brian Stuard,-53,4.73,980
182,1,32150,Michael Thompson,-52,4.66,770
182,1,27095,Nick Watney,-52,4.76,1070
184,1,49766,Hank Lebioda,-48,4.73,880
185,1,24140,Sean O'Hair,-45,4.70,740
186,1,23983,Luke Donald,-44,4.69,720
187,1,25198,Francesco Molinari,-31,4.80,760
188,1,39058,Lucas Herbert,-18,4.86,640
